!1 Four Parallel Activities

!img-l http://files/images/parallel_7.jpg














|${TDD_FIXTURE}                  |
|start        |${TDD_FIXTURE}    |
|addActivity  |A    |8:00 |12:00||
|addActivity  |B    |8:30 |10:30||
|addActivity  |C    |10:00|13:00||
|addActivity  |D    |12:00|14:00||
|layout       |                  |
|maxParallel  |3                 |
|parallelCount|7:59 |0           |
|parallelCount|8:00 |1           |
|parallelCount|8:29 |1           |
|parallelCount|8:30 |2           |
|parallelCount|9:59 |2           |
|parallelCount|10:00|3           |
|parallelCount|10:29|3           |
|parallelCount|10:30|2           |
|parallelCount|12:59|2           |
|parallelCount|13:00|1           |
|parallelCount|13:59|1           |
|parallelCount|14:00|0           |
|x            |A    |0           |
|y            |A    |1h          |
|width        |A    |1           |
|height       |A    |4h          |
|x            |B    |1           |
|y            |B    |1h30        |
|width        |B    |1           |
|height       |B    |2h          |
|x            |C    |2           |
|y            |C    |3h          |
|width        |C    |1           |
|height       |C    |3h          |
|x            |D    |0           |
|y            |D    |5h          |
|width        |D    |2           |
|height       |D    |2h          |
